                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1654,                0.68409,                 1.1469,                 0.7535,                0.75281,                0.80346,                0.56205,                  1.148,                0.59459,                 1.1578,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.1656,                 0.6821,                 1.1534,                0.72887,                0.75716,                 0.7981,                0.55859,                   1.15,                0.59768,                 1.1555,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.1608,                0.67747,                 1.1472,                0.75422,                   0.76,                0.78975,                 0.5484,                 1.1513,                0.59243,                  1.158,               0.009307,               0.009307,               0.009307
                     38,                 1.1571,                0.67023,                 1.1523,                0.87813,                0.70729,                0.80599,                0.57768,                 1.1427,                0.59526,                 1.1503,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.1482,                0.66486,                 1.1435,                0.74988,                0.77651,                0.80972,                0.57227,                 1.1351,                0.58078,                 1.1527,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.1519,                0.66417,                  1.141,                0.79642,                0.77697,                0.81714,                0.58136,                 1.1417,                 0.5798,                 1.1527,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.1456,                0.66566,                 1.1403,                0.73777,                0.78676,                0.81314,                0.56662,                  1.137,                0.58315,                 1.1547,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.1452,                0.65403,                 1.1447,                0.79838,                0.78181,                 0.8016,                0.56616,                 1.1338,                0.58533,                 1.1492,               0.009208,               0.009208,               0.009208
                     43,                 1.1402,                0.65242,                 1.1393,                0.76809,                 0.7575,                0.82945,                0.58686,                 1.1362,                0.57944,                 1.1514,              0.0091882,              0.0091882,              0.0091882
                     44,                 1.1368,                 0.6554,                 1.1388,                0.82416,                0.75544,                0.83509,                0.59754,                 1.1386,                 0.5651,                 1.1494,              0.0091684,              0.0091684,              0.0091684
                     45,                 1.1433,                0.65225,                 1.1417,                0.87489,                0.75958,                0.83004,                0.59557,                 1.1322,                0.57106,                  1.148,              0.0091486,              0.0091486,              0.0091486
                     46,                 1.1315,                0.64627,                  1.139,                 0.7693,                0.81821,                0.83879,                0.60632,                  1.126,                0.56665,                 1.1486,              0.0091288,              0.0091288,              0.0091288
                     47,                 1.1222,                 0.6388,                 1.1278,                0.80587,                0.76335,                0.83504,                0.59862,                 1.1257,                0.56217,                 1.1432,               0.009109,               0.009109,               0.009109
                     48,                 1.1308,                0.63973,                  1.139,                0.77917,                0.77128,                0.80502,                0.57626,                 1.1307,                0.55917,                 1.1499,              0.0090892,              0.0090892,              0.0090892
                     49,                 1.1277,                0.64031,                 1.1285,                0.80026,                0.76979,                 0.8452,                0.59942,                 1.1276,                0.55253,                 1.1451,              0.0090694,              0.0090694,              0.0090694
                     50,                 1.1219,                0.63195,                 1.1327,                0.70391,                0.80992,                0.84722,                0.60565,                 1.1338,                0.56146,                  1.151,              0.0090496,              0.0090496,              0.0090496
                     51,                 1.1209,                0.63114,                 1.1242,                0.84506,                0.73153,                0.83751,                0.60696,                  1.131,                0.56171,                  1.146,              0.0090298,              0.0090298,              0.0090298
