1,1,218.142,328.792,156.524,76.946,0.643,-1,-1,-1
1,2,833.921,367.991,66.172,112.607,0.508,-1,-1,-1
1,3,1179.304,312.260,100.277,92.949,0.594,-1,-1,-1
1,4,341.057,289.313,412.229,291.003,0.667,-1,-1,-1
1,5,833.971,310.652,74.742,141.540,0.516,-1,-1,-1
1,6,365.051,327.995,54.266,37.763,0.523,-1,-1,-1
2,1,206.858,329.024,160.001,79.493,0.649,-1,-1,-1
2,4,349.683,289.435,410.468,291.167,0.632,-1,-1,-1
2,2,836.491,366.208,71.098,114.619,0.513,-1,-1,-1
2,3,1184.176,312.568,95.501,93.054,0.605,-1,-1,-1
2,6,368.912,327.662,48.903,40.849,0.503,-1,-1,-1
3,4,365.684,288.186,405.081,291.908,0.648,-1,-1,-1
3,1,177.639,330.460,174.730,86.433,0.657,-1,-1,-1
3,3,1196.235,314.733,83.421,90.668,0.570,-1,-1,-1
3,7,842.778,311.339,74.766,134.135,0.512,-1,-1,-1
3,8,333.159,337.027,50.850,38.012,0.515,-1,-1,-1
4,1,126.621,330.592,199.286,97.358,0.661,-1,-1,-1
4,4,386.598,289.523,395.863,292.488,0.678,-1,-1,-1
4,3,1214.751,318.114,64.922,85.040,0.532,-1,-1,-1
4,8,329.712,336.175,55.034,38.108,0.530,-1,-1,-1
5,4,406.764,288.595,392.983,287.685,0.692,-1,-1,-1
5,1,56.732,333.811,234.504,105.455,0.666,-1,-1,-1
5,9,272.316,338.470,68.008,45.654,0.532,-1,-1,-1
5,8,330.696,335.477,57.801,38.478,0.524,-1,-1,-1
5,3,1233.120,323.285,46.708,76.548,0.523,-1,-1,-1
6,4,428.334,288.985,390.684,287.843,0.705,-1,-1,-1
6,10,0.591,337.427,247.539,118.393,0.694,-1,-1,-1
6,9,245.045,339.247,96.553,48.217,0.605,-1,-1,-1
6,8,331.406,336.209,57.275,39.259,0.550,-1,-1,-1
6,11,377.297,268.457,128.747,108.262,0.567,-1,-1,-1
7,4,445.408,290.680,389.226,287.716,0.732,-1,-1,-1
7,10,0.527,335.146,189.128,133.927,0.711,-1,-1,-1
7,12,937.354,369.210,86.697,103.798,0.566,-1,-1,-1
7,9,242.762,338.995,98.353,48.865,0.665,-1,-1,-1
